"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.43152373495851e-162,3.89060037003689,0.997,0.512,1.27276895681283e-157,"0","Gcg"
8.88715762352279e-159,3.5269564421466,0.997,0.417,2.0825276459201e-154,"0","Tmsb15b2"
1.8052939578713e-157,2.78877888094272,0.832,0.102,4.23034533147981e-153,"0","Irx2"
4.68569592063383e-147,3.63687885754122,1,0.715,1.09799912508213e-142,"0","Ttr"
1.75683888595999e-146,2.07179094113743,0.978,0.221,4.11680056147003e-142,"0","Pappa2"
1.9964306677976e-143,2.57637568425931,0.863,0.136,4.67823598385011e-139,"0","Ndst4"
1.94542033699309e-141,3.18980633888235,0.752,0.093,4.55870347567591e-137,"0","Edn3"
6.29536671810818e-138,2.61114581211207,0.975,0.3,1.47519328305429e-133,"0","C8b"
5.532967843824e-137,2.87992559870335,0.927,0.258,1.29654035484328e-132,"0","Higd1a"
2.59753109731792e-135,2.30133890612707,0.968,0.267,6.08679462034509e-131,"0","Mafb"
4.96374265929858e-135,2.23414578833234,0.819,0.117,1.16315381735344e-130,"0","Arx"
2.02549117909111e-134,2.38347559139638,0.984,0.314,4.7463334799642e-130,"0","Sfrp5"
1.49616489123191e-132,3.38939512879137,0.889,0.242,3.50596318962374e-128,"0","Tmsb15l"
1.97284939727019e-132,2.66714803581029,0.813,0.14,4.62297799262323e-128,"0","Ctxn2"
6.68946395102744e-129,2.20248901233261,0.927,0.207,1.56754208764426e-124,"0","Kcnk3"
2.22352828594298e-128,2.40465134625265,0.816,0.143,5.21039383245019e-124,"0","Oxtr"
2.2134207238717e-127,2.9966030969534,0.99,0.441,5.18670878224854e-123,"0","Dbpht2"
2.690967768715e-126,2.58937836887861,0.994,0.48,6.30574477242987e-122,"0","1700086L19Rik"
7.98178419479904e-126,2.29056506152517,0.721,0.094,1.87037149036726e-121,"0","Pdk4"
5.19193322205914e-123,2.38288990052648,1,0.528,1.21662571192512e-118,"0","Gpx3"
1.20220286565329e-119,2.82387749155847,0.914,0.297,2.81712197508535e-115,"0","Cryba2"
4.13410372204864e-119,2.82570469541838,0.663,0.085,9.68744525187659e-115,"0","Gm20554"
1.59749085268217e-117,2.01534157643032,0.997,0.577,3.74340031509013e-113,"0","Tmem27"
1.30170590888519e-113,2.4406277158932,0.717,0.112,3.05028745629066e-109,"0","Ccdc164"
2.3135703332101e-113,1.95477221765466,1,0.343,5.42138936181122e-109,"0","Etv1"
3.54287600303673e-111,1.83890260419403,1,0.596,8.30202133791597e-107,"0","Resp18"
5.36480337392346e-110,2.90074531724916,0.854,0.258,1.25713437461148e-105,"0","Tmsb15b1"
1.08378519213235e-109,3.01191925373507,0.562,0.053,2.53963384072374e-105,"0","Hhatl"
9.27109231808886e-109,1.90317428176146,0.994,0.487,2.17249506289776e-104,"0","Lpl"
2.90589454697683e-108,1.77027941405885,1,0.928,6.8093826919308e-104,"0","Gnas"
3.08384324981291e-108,2.87950059140925,0.616,0.081,7.22636988728659e-104,"0","Igsf21"
3.14322224476597e-107,2.24260436528674,0.924,0.306,7.3655126861601e-103,"0","Hist3h2ba"
1.50727723820926e-106,1.34391324887581,1,0.955,3.53200275229577e-102,"0","Cst3"
4.29446986708556e-105,1.82299518952365,0.93,0.268,1.00632312395416e-100,"0","Gria2"
1.27694592996331e-104,1.36862378642591,0.854,0.201,2.99226739768303e-100,"0","Ace2"
2.35035032733371e-104,3.17540865160644,0.514,0.044,5.50757592204109e-100,"0","Gfra3"
3.99863368201384e-104,1.03256721796299,0.997,0.334,9.36999830706304e-100,"0","Rbp4"
2.3197293884772e-102,1.53516472151862,1,0.588,5.43582187601863e-98,"0","Scg5"
3.74741245354456e-102,3.27344479348441,0.663,0.12,8.78131160239097e-98,"0","Aard"
2.27656231285699e-99,2.29793363176052,0.556,0.058,5.33466846771779e-95,"0","Irx1"
1.73859543829826e-98,1.52290722668043,0.997,0.585,4.07405069056431e-94,"0","Pcsk1n"
6.76706096092903e-97,1.95166917480279,0.924,0.328,1.5857253949745e-92,"0","Nap1l5"
1.14183583490791e-96,2.43009005052505,0.762,0.189,2.67566391193972e-92,"0","Ptprd"
7.20061354888363e-95,0.90851853046459,0.676,0.112,1.6873197729099e-90,"0","Mamld1"
1.16792921170845e-93,1.78301463370942,0.911,0.27,2.7368085217964e-89,"0","Tmem59l"
2.63336726223036e-93,1.6538104771302,0.99,0.525,6.1707695055844e-89,"0","Slc7a2"
6.58151405413365e-93,1.83495880868504,0.959,0.394,1.54224618830514e-88,"0","Gc"
7.54985133474332e-93,2.88071711317453,0.559,0.076,1.7691566632704e-88,"0","Galnt13"
4.01782026671574e-92,3.09489277141091,0.479,0.047,9.41495823099498e-88,"0","Avpr1b"
4.52654309127225e-90,2.41316528944613,0.762,0.204,1.06070484257783e-85,"0","BC048546"
9.06418177356902e-90,2.32977162108459,0.673,0.141,2.12400971500043e-85,"0","Hapln1"
6.15932580371874e-87,1.35894842037359,0.917,0.29,1.44331481558541e-82,"0","Smarca1"
4.42559999274094e-85,1.5992565584971,0.987,0.542,1.03705084629898e-80,"0","Fam183b"
9.83023951046834e-85,2.08718662278349,0.914,0.38,2.30352002448805e-80,"0","Upp1"
3.86219187447692e-84,2.20403432785537,0.61,0.111,9.05027421946177e-80,"0","Rab3c"
2.64526051863166e-83,2.19167573509199,0.657,0.143,6.19863897330956e-79,"0","Dpp10"
1.29920120657517e-82,1.12606428974504,0.997,0.908,3.0444181873676e-78,"0","Rpl37a"
2.15141379560198e-82,2.71487765442758,0.587,0.112,5.04140794723411e-78,"0","Nudt11"
4.6423708114545e-82,1.57820260528846,0.987,0.485,1.08784675224813e-77,"0","Gatsl2"
5.81609614774741e-82,1.3022041839365,1,0.61,1.36288581030165e-77,"0","Pcsk2"
1.08680813710009e-80,1.87723212500209,0.708,0.163,2.54671750766663e-76,"0","Fev"
5.3741227209794e-80,1.71688473593307,0.756,0.212,1.2593181772071e-75,"0","Rgs4"
1.2575012272853e-77,1.82327400459067,0.619,0.129,2.94670262589764e-73,"0","Mfap2"
2.86413078190359e-77,3.15656585104206,0.53,0.092,6.71151766123468e-73,"0","Fam84a"
3.13278802861732e-77,0.875263309303159,0.981,0.379,7.34106218745897e-73,"0","Pyy"
5.61672258851273e-77,0.832255960164122,1,0.963,1.31616660416619e-72,"0","Rpl41"
5.72229726974776e-77,1.68736564486146,0.708,0.178,1.34090591921999e-72,"0","Fam81a"
5.75825304777576e-76,1.07546763839598,0.994,0.887,1.34933143668529e-71,"0","Rps24"
1.51546262571406e-74,0.993239107133412,0.997,0.899,3.55118357083576e-70,"0","Rpl13a"
3.31342362316523e-74,1.09081235735326,0.987,0.836,7.76434557616308e-70,"0","Atp5e"
3.39152386471804e-74,1.66403205046074,0.959,0.502,7.94735787219378e-70,"0","Gls"
7.03973964428831e-73,1.48778307895695,0.794,0.25,1.64962219084608e-68,"0","Dock11"
1.27738959526512e-72,2.35998501748073,0.53,0.094,2.99330703858476e-68,"0","Kcnip3"
1.43531081722941e-72,2.29888008204931,0.425,0.051,3.36336383801367e-68,"0","Pou6f2"
2.54630893845107e-72,1.1947435938785,0.838,0.273,5.9667657354724e-68,"0","Rcn3"
7.44150469272303e-71,0.6442270237933,0.968,0.529,1.74376779464579e-66,"0","Serping1"
8.17682520167122e-71,1.38854666454054,1,0.907,1.91607544950762e-66,"0","Fos"
9.05067297312589e-71,1.35139254073986,0.384,0.039,2.12084419779259e-66,"0","Cit"
1.88916886870149e-70,0.997735260305968,0.99,0.875,4.42688941002819e-66,"0","Rps17"
4.67485615855106e-70,1.56723338389174,0.556,0.105,1.09545904363327e-65,"0","Klb"
6.78841430952503e-70,1.73270880232075,0.933,0.467,1.590729125151e-65,"0","Pak3"
1.51558234729123e-68,1.94582670856363,0.908,0.511,3.55146411440754e-64,"0","Gadd45b"
4.00470092802386e-68,1.1649668598158,1,0.62,9.38421568463832e-64,"0","Aplp1"
7.78154711181985e-68,1.09139415403783,0.984,0.798,1.82344993471274e-63,"0","Usmg5"
6.16731828707458e-67,2.12287090233559,0.527,0.105,1.44518769421019e-62,"0","Adamts18"
